[2021-01-05 10:43:18,868] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3760223388671875s
[2021-01-05 10:43:19,250] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3783140182495117s
[2021-01-05 10:43:19,629] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37682557106018066s
[2021-01-05 10:43:20,005] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37402939796447754s
[2021-01-05 10:43:20,383] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3766329288482666s
[2021-01-05 10:43:20,763] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37801647186279297s
[2021-01-05 10:43:21,144] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3780193328857422s
[2021-01-05 10:43:21,521] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37404847145080566s
[2021-01-05 10:43:21,901] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37797975540161133s
[2021-01-05 10:43:22,282] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37897729873657227s
[2021-01-05 10:43:22,661] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37699389457702637s
[2021-01-05 10:43:23,037] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3729729652404785s
[2021-01-05 10:43:23,416] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3759956359863281s
[2021-01-05 10:43:23,798] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37941956520080566s
[2021-01-05 10:43:24,179] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3790147304534912s
[2021-01-05 10:43:24,552] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37101006507873535s
[2021-01-05 10:43:24,931] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3759629726409912s
[2021-01-05 10:43:25,311] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3778700828552246s
[2021-01-05 10:43:25,689] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.374967098236084s
[2021-01-05 10:43:26,064] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37174487113952637s
[2021-01-05 10:43:26,443] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3769814968109131s
[2021-01-05 10:43:26,826] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.38001203536987305s
[2021-01-05 10:43:27,205] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37671828269958496s
[2021-01-05 10:43:27,579] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3719663619995117s
[2021-01-05 10:43:27,969] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.3881204128265381s
[2021-01-05 10:43:28,353] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.38198304176330566s
[2021-01-05 10:43:28,730] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37502503395080566s
[2021-01-05 10:43:29,119] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.38692593574523926s
[2021-01-05 10:43:29,499] [INFO] [Laddle-Id-detection] elapsed time detecting : 0.37798190116882324s
